"Competitive Bid Service Area ID","Competitive Bid Service Area Name","Company Name","DBA Name","Address","Address 2","City","State","Zip","Zip Plus 4","Phone","Toll-Free Telephone","Product Category Name","Competitive Bid?"
"","","RALEYS                                                                ","RALEY'S PHARMACY #337","100 RALEYS TOWNE CTR                                   ","                                                       ","ROHNERT PARK                  ","CA","94928","    ","(707)585-3444","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #421","8870 MADISON AVE                                       ","                                                       ","FAIR OAKS                     ","CA","95628","    ","(916)966-6371","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #249","2485 NOTRE DAME BLVD                                   ","                                                       ","CHICO                         ","CA","95928","    ","(530)895-0895","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #229","13384 LINCOLN WAY                                      ","                                                       ","AUBURN                        ","CA","95603","    ","(530)885-7989","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY # 431","5159 FAIR OAKS BLVD                                    ","                                                       ","CARMICHAEL                    ","CA","95608","    ","(916)483-0419","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #438","6366 MACK RD                                           ","                                                       ","SACRAMENTO                    ","CA","95823","    ","(916)421-3267","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #247","1842 FORT JONES RD                                     ","                                                       ","YREKA                         ","CA","96097","    ","(530)842-4182","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S #340/350","40041 HIGHWAY 49                                       ","                                                       ","OAKHURST                      ","CA","93644","    ","(559)683-8360","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S #304/394","2077 MAIN STREET                                       ","                                                       ","OAKLEY                        ","CA","94561","    ","(925)625-4500","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #343","890 SOUTHAMPTON RD                                     ","                                                       ","BENICIA                       ","CA","94510","    ","(707)746-5565","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #309","3550 NORTH G ST                                        ","                                                       ","MERCED                        ","CA","95348","    ","(209)722-3853","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #114","3701 S CARSON ST                                       ","                                                       ","CARSON CITY                   ","NV","89701","    ","(775)882-3116","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #328","1315 N STATE ST                                        ","                                                       ","UKIAH                         ","CA","95482","    ","(707)468-5156","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #412","6845 DOUGLAS BLVD                                      ","                                                       ","GRANITE BAY                   ","CA","95746","    ","(916)791-8015","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #417","4840 SAN JUAN AVE                                      ","                                                       ","FAIR OAKS                     ","CA","95628","    ","(916)966-2266","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #315","39200 PASEO PADRE PARKWAY                              ","                                                       ","FREMONT                       ","CA","94538","    ","(510)791-0657","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY # 344","3061 ALAMO DR                                          ","                                                       ","VACAVILLE                     ","CA","95687","    ","(707)447-2526","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #445","311 SOUTH LOWER SACRAMENTO RD                          ","                                                       ","LODI                          ","CA","95242","    ","(209)369-7403","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #242","700 W ONSTOTT RD                                       ","                                                       ","YUBA CITY                     ","CA","95991","    ","(530)673-8880","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #239","7847 LICHEN DRIVE                                      ","                                                       ","CITRUS HEIGHTS                ","CA","95621","    ","(916)722-1755","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #248","201 LAKE BLVD                                          ","UNIT B                                                 ","REDDING                       ","CA","96003","    ","(530)246-3511","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #127","1040 EMERALD BAY RD                                    ","                                                       ","SOUTH LAKE TAHOE              ","CA","96150","    ","(530)541-5230","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #422","166 PLACERVILLE DR                                     ","                                                       ","PLACERVILLE                   ","CA","95667","    ","(530)622-6630","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #109","1363 HWY 395 N                                         ","                                                       ","GARDNERSVILLE                 ","NV","89410","    ","(775)782-2226","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #106","701 KEYSTONE AVE                                       ","                                                       ","RENO                          ","NV","89503","    ","(775)747-0718","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #424","3935 PARK DR                                           ","STE B                                                  ","EL DORADO HILLS               ","CA","95762","    ","(916)933-0374","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #206","367 WEST MAIN ST                                       ","                                                       ","WOODLAND                      ","CA","95695","    ","(530)666-1445","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #448","1601 W CAPITOL AVE                                     ","                                                       ","WEST SACRAMENTO               ","CA","95691","    ","(916)372-3111","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #117","2505 MOUNTAIN CITY HWY                                 ","                                                       ","ELKO                          ","NV","89801","    ","(775)738-2779","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #316","5420 SUNOL BLVD                                        ","                                                       ","PLEASANTON                    ","CA","94566","    ","(925)846-7944","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #227","1915 DOUGLAS BLVD                                      ","                                                       ","ROSEVILLE                     ","CA","95661","    ","(916)781-7840","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY # 313","1407 FULTON RD                                         ","                                                       ","SANTA ROSA                    ","CA","95403","    ","(707)546-4313","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #330","270 SUNSET AVENUE                                      ","                                                       ","SUISUN CITY                   ","CA","94585","    ","(707)426-1274","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #341","8852 LAKEWOOD DR                                       ","                                                       ","WINDSOR                       ","CA","95492","    ","(707)838-4319","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #108","18144 WEDGE PKWY                                       ","                                                       ","RENO                          ","NV","89511","    ","(775)850-8920","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #319","217 SOSCOL AVE                                         ","                                                       ","NAPA                          ","CA","94559","    ","(707)224-1269","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S #231","6119 HORSESHOE BAR RD                                  ","                                                       ","LOOMIS                        ","CA","95650","    ","(916)652-5633","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #245","211 W EAST AVE                                         ","                                                       ","CHICO                         ","CA","95926","    ","(530)899-3790","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #102","2895 N MCCARRAN BLVD                                   ","                                                       ","SPARKS                        ","NV","89431","    ","(775)353-8818","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #426","781 SOUTH HIGHWAY 49                                   ","                                                       ","JACKSON                       ","CA","95642","    ","(209)223-9670","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #331","3330 N TEXAS ST                                        ","                                                       ","FAIRFIELD                     ","CA","94533","    ","(707)421-9010","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #409","715 EAST BIDWELL STREET                                ","                                                       ","FOLSOM                        ","CA","95630","    ","(916)983-6574","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #416","3518 MARCONI AVE                                       ","                                                       ","SACRAMENTO                    ","CA","95821","    ","(916)972-7198","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY 233","725 S MAIN ST                                          ","                                                       ","RED BLUFF                     ","CA","96080","    ","(530)527-2137","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #115","1075 N HILLS BLVD                                      ","STE 270                                                ","RENO                          ","NV","89506","    ","(775)677-8750","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #336","2400 SAND CREEK RD                                     ","                                                       ","BRENTWOOD                     ","CA","94513","    ","(925)513-8844","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #447","4650 NATOMAS BLVD                                      ","                                                       ","SACRAMENTO                    ","CA","95835","    ","(916)419-6644","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS #302","10430 TWIN CITIES RD                                   ","                                                       ","GALT                          ","CA","95632","    ","(209)745-4881","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #105","1630 ROBB DR                                           ","                                                       ","RENO                          ","NV","89523","    ","(775)746-6404","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #230","39 LINCOLN BOULEVARD                                   ","                                                       ","LINCOLN                       ","CA","95648","    ","(916)408-3633","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #410","25025 BLUE RAVINE RD                                   ","                                                       ","FOLSOM                        ","CA","95630","    ","(916)351-0303","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEYS PHARMACY #443","4900 ELK GROVE BLVD                                    ","                                                       ","ELK GROVE                     ","CA","95758","    ","(916)683-0720","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #306","4255 E MORADA LANE                                     ","                                                       ","STOCKTON                      ","CA","95212","    ","(209)956-9444","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #228","4051 WOODCREEK OAKS BLVD                               ","                                                       ","ROSEVILLE                     ","CA","95747","    ","(916)774-3344","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #329","157 N MCDOWELL BLVD                                    ","                                                       ","PETALUMA                      ","CA","94954","    ","(707)765-9100","","Automatic External Defibrillators (AEDS)","N"
"","","RALEYS                                                                ","RALEY'S PHARMACY #308","3430 TULLY RD                                          ","                                                       ","MODESTO                       ","CA","95350","    ","(209)527-4600","","Automatic External Defibrillators (AEDS)","N"
"","","HOME HEALTH CARE INC.                                                 ","COMMONWEALTH HOME HEALTH CARE","479 PINEY FOREST RD                                    ","                                                       ","DANVILLE                      ","VA","24540","    ","(434)797-2332","","Automatic External Defibrillators (AEDS)","N"
"","","JOHN CURELLI                                                          ","JOHN CURELLI","12 OLD SCHOOLHOUSE VILLAGE                             ","                                                       ","VINEYARD HAVEN                ","MA","02568","    ","(508)693-4380","","Automatic External Defibrillators (AEDS)","N"
"","","DASCO-ALLIANCE, LTD.                                                  ","DASCO/ALLIANCE LTD","270 E STATE ST                                         ","STE 130                                                ","ALLIANCE                      ","OH","44601","    ","(330)829-0565","","Automatic External Defibrillators (AEDS)","N"
"","","AIR-WAY MEDICAL, INC.                                                 ","AIR WAY MEDICAL","437 E LINE ST                                          ","                                                       ","BISHOP                        ","CA","93514","    ","(760)872-1117","","Automatic External Defibrillators (AEDS)","N"
"","","NORCO, INC.                                                           ","NORCO INC","1911 MEADOWLARK LN                                     ","STE A                                                  ","BUTTE                         ","MT","59701","    ","(406)494-1349","","Automatic External Defibrillators (AEDS)","N"
"","","TRICOREX INC                                                          ","HEALTHCARE EQUIPMENT & SUPPLY CO","628 N. OLD ST. MARYS RD                                ","                                                       ","PERRYVILLE                    ","MO","63775","    ","(573)547-4526","","Automatic External Defibrillators (AEDS)","N"
"","","TRICOREX INC                                                          ","HEALTHCARE EQUIPMENT & SUPPLY CO","1515 N MARKET ST                                       ","                                                       ","SPARTA                        ","IL","62286","    ","(618)443-4325","","Automatic External Defibrillators (AEDS)","N"
"","","TRICOREX INC                                                          ","TRICOREX INC","435 W MAIN ST                                          ","                                                       ","JACKSON                       ","MO","63755","    ","(573)204-1628","","Automatic External Defibrillators (AEDS)","N"
"","","TRICOREX INC                                                          ","HEALTHCARE EQUIPMENT & SUPPLY CO","918 VALLEY CREEK DR.                                   ","                                                       ","FARMINGTON                    ","MO","63640","    ","(573)701-0044","","Automatic External Defibrillators (AEDS)","N"
"","","ARMSCARE INC                                                          ","ARMSCARE INC","85 GLADE DR                                            ","                                                       ","KITTANNING                    ","PA","16201","    ","(724)545-3200","","Automatic External Defibrillators (AEDS)","N"
"","","GOULD'S DISCOUNT MEDICAL INC.                                         ","GOULD'S DISCOUNT MEDICAL INC.","3901 DUTCHMANS LN                                      ","STE 100                                                ","LOUISVILLE                    ","KY","40207","    ","(502)491-2000","","Automatic External Defibrillators (AEDS)","N"
"","","GOULD'S DISCOUNT MEDICAL INC.                                         ","GOULD'S DISCOUNT MEDICAL","6802 DIXIE HWY                                         ","                                                       ","LOUISVILLE                    ","KY","40258","    ","(502)286-9770","","Automatic External Defibrillators (AEDS)","N"
"","","GOULD'S DISCOUNT MEDICAL INC.                                         ","GOULD'S DISCOUNT MEDICAL INC","118 PATRIOT DR                                         ","STE 101                                                ","BARDSTOWN                     ","KY","40004","    ","(502)286-9770","","Automatic External Defibrillators (AEDS)","N"
"","","GOULD'S DISCOUNT MEDICAL INC.                                         ","GOULDS DISCOUNT MEDICAL INC.","504 E LEWIS AND CLARK PKWY                             ","                                                       ","CLARKSVILLE                   ","IN","47129","    ","(812)282-5200","","Automatic External Defibrillators (AEDS)","N"
"","","GOULD'S DISCOUNT MEDICAL INC.                                         ","GOULD'S DISCOUNT MEDICAL","198 MOORE DR                                           ","STE 106                                                ","LEXINGTON                     ","KY","40503","    ","(859)721-1732","","Automatic External Defibrillators (AEDS)","N"
"","","GOULD'S DISCOUNT MEDICAL INC.                                         ","GOULD'S DISCOUNT MEDICAL","2408 RING RD                                           ","STE 600                                                ","ELIZABETHTOWN                 ","KY","42701","    ","(270)900-4790","","Automatic External Defibrillators (AEDS)","N"
"","","BRAINERD MEDICAL SUPPLY, INC                                          ","BRAINERD MEDICAL SUPPLY INC","206 W WASHINGTON ST                                    ","                                                       ","BRAINERD                      ","MN","56401","    ","(218)829-2100","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","4642 WEST 12TH ST                                      ","SUITES 2&3                                             ","ERIE                          ","PA","16505","    ","(814)454-5995","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","3229 SUNSET BLVD C                                     ","                                                       ","WEST COLUMBIA                 ","SC","29169","    ","(803)786-6900","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","2029 LYONS RD                                          ","                                                       ","MIAMISBURG                    ","OH","45342","    ","(937)312-9298","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","5324 GEORGIA HIGHWAY 85                                ","STE 200                                                ","FOREST PARK                   ","GA","30297","    ","(404)479-4922","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE INC","2150 TRABAJO DR B                                      ","                                                       ","OXNARD                        ","CA","93030","    ","(805)983-0926","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","612 BEATTY RD                                          ","STE D                                                  ","MONROEVILLE                   ","PA","15146","    ","(412)373-1603","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","2024S MAIDEN LN 1                                      ","                                                       ","JOPLIN                        ","MO","64804","    ","(417)782-6212","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","4210 1ST AVE 310                                       ","                                                       ","NITRO                         ","WV","25143","    ","(304)755-0718","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","3202 ROBERT C BYRD DR                                  ","                                                       ","BECKLEY                       ","WV","25801","    ","(304)255-1464","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","4 PRESIDENTIAL WAY                                     ","UNIT A                                                 ","WOBURN                        ","MA","01801","    ","(978)657-8446","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","2198 WILLIAMS HWY 207/208                              ","                                                       ","WILLIAMSTOWN                  ","WV","26187","    ","(304)375-2039","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","170 CARANDO DR                                         ","                                                       ","SPRINGFIELD                   ","MA","01104","    ","(413)736-4529","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","4416S 40TH ST                                          ","                                                       ","SAINT JOSEPH                  ","MO","64503","    ","(816)233-2449","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","170 OBERLIN N AVE 24                                   ","                                                       ","LAKEWOOD                      ","NJ","08701","    ","(732)905-1400","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","5345S MOORLAND RD                                      ","                                                       ","NEW BERLIN                    ","WI","53151","    ","(262)207-1551","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","10910N 2ND ST                                          ","                                                       ","MACHESNEY PARK                ","IL","61115","    ","(815)633-7778","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","859E BROADWAY                                          ","                                                       ","MONONA                        ","WI","53716","    ","(608)221-5480","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","40 SEBETHE DR                                          ","                                                       ","CROMWELL                      ","CT","06416","    ","(860)613-4600","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","245 ELLERY CT                                          ","                                                       ","NASHVILLE                     ","TN","37214","    ","(615)321-5874","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","2101 MAXWELL AVE                                       ","                                                       ","EVANSVILLE                    ","IN","47711","    ","(812)471-0202","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","6413 CROSS CREEK BLVD                                  ","                                                       ","FORT WAYNE                    ","IN","46818","    ","(260)489-7722","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","7353 COMPANY DR                                        ","                                                       ","INDIANAPOLIS                  ","IN","46237","    ","(317)865-4200","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","3802 W INDUSTRIAL BLVD                                 ","STE 2                                                  ","BLOOMINGTON                   ","IN","47403","    ","(812)333-9901","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","599E MANDOLINE AVE                                     ","                                                       ","MADISON HEIGHTS               ","MI","48071","    ","(248)588-1607","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","4675 TURNBERRY DR                                      ","                                                       ","HANOVER PARK                  ","IL","60133","    ","(847)252-2000","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE INC","701 W TOWNLINE                                         ","STE B                                                  ","CRESTON                       ","IA","50801","    ","(641)782-6892","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","3703N CLIFF AVE                                        ","                                                       ","SIOUX FALLS                   ","SD","57104","    ","(605)334-8418","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","36 EAGLE DR                                            ","                                                       ","LEXINGTON                     ","OH","44904","    ","(419)884-0802","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","16550 SCHEER BLVD 3                                    ","                                                       ","HUDSON                        ","FL","34667","    ","(727)868-8554","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","5449 BEAR LN 400                                       ","                                                       ","CORPUS CHRISTI                ","TX","78405","    ","(361)299-2535","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","4062 TECHNOLOGY DR                                     ","                                                       ","MAUMEE                        ","OH","43537","    ","(419)471-1919","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE INC","1014 N BUTLER AVE                                      ","                                                       ","FARMINGTON                    ","NM","87401","    ","(505)325-7575","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","420W 67TH ST                                           ","                                                       ","LOVELAND                      ","CO","80538","    ","(970)663-0503","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC","4619 W LOOP 289                                        ","                                                       ","LUBBOCK                       ","TX","79414","    ","(806)791-0202","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE","38888 EL DESIERTO RD                                   ","                                                       ","PALM DESERT                   ","CA","92211","    ","(760)200-2918","","Automatic External Defibrillators (AEDS)","N"
"","","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE INC","2339 COURAGE DR                                        ","STE G                                                  ","FAIRFIELD                     ","CA","94533","    ","(707)422-9901","","Automatic External Defibrillators (AEDS)","N"
